"消費日期","消費品項","單價","個數","小計","店家名稱"
"1150202","酸辣湯","35.0","1.0","35.0","零七小吃店"
"1150202","雙蛋嫩雞飯","130.0","1.0","130.0","瑞哥小吃店"
"1150203","瓦斯費","864.0","1.0","864.0","大台北區瓦斯股份有限公司"
"1150203","*統一陽光低糖高纖豆漿400ml(盒)","25.0","1.0","25.0","統一超商股份有限公司台北市第四三一分公司"
"1150203","森永in果凍（提神）","42.0","1.0","42.0","統一超商股份有限公司台北市第四三一分公司"
"1150204","雞腿飯","140.0","1.0","140.0","岳香小吃店"
"1150204","英式紅茶中","120.0","1.0","120.0","悠旅生活事業股份有限公司台北市第六十四分公司"
"1150206","停車費","75.0","1.0","75.0","歐特儀股份有限公司永和國小地下停車場"
"1150206","三人泰國米","90.0","1.0","90.0","禾合食堂"
"1150206","酸辣綜合海鮮湯","290.0","1.0","290.0","禾合食堂"
"1150206","蒜香芥蘭炒","170.0","1.0","170.0","禾合食堂"
"1150206","鐵板海鮮嫩豆腐","350.0","1.0","350.0","禾合食堂"
"1150206","沙嗲雞肉串","260.0","1.0","260.0","禾合食堂"
"1150206","金錢蝦餅","330.0","1.0","330.0","禾合食堂"
"1150206","厚煎蝦仁烘蛋","240.0","1.0","240.0","禾合食堂"
"1150206","清蒸檸檬魚","360.0","1.0","360.0","禾合食堂"
"1150206","莓好桃氣","85.0","1.0","85.0","文鑫茶坊"
"1150206","折扣","-6.0","1.0","-6.0","文鑫茶坊"
"1150206","停車費","60.0","1.0","60.0","國雲公寓大廈管理維護股份有限公司中安場"
"1150207","C-UltraSparkling","17.0","1.0","17.0","家福股份有限公司台北天母分公司"
"1150207","鹽可頌3入","99.0","1.0","99.0","家福股份有限公司台北天母分公司"
"1150207","餐-勁辣雞腿","78.0","1.0","78.0","和德昌股份有限公司台北中山北分公司"
"1150207","套餐鮮乳","38.0","1.0","38.0","和德昌股份有限公司台北中山北分公司"
"1150207","配-辣腿/排","46.0","1.0","46.0","和德昌股份有限公司台北中山北分公司"
"1150207","二原腿排餐","126.0","1.0","126.0","和德昌股份有限公司台北中山北分公司"
"1150207","玉米湯-大","55.0","1.0","55.0","和德昌股份有限公司台北中山北分公司"
"1150207","配-經典中薯","27.0","1.0","27.0","和德昌股份有限公司台北中山北分公司"
"1150208","停車費","40.0","1.0","40.0","日月亭股份有限公司內湖捷運營業所"
"1150208","黑松露嫩蛋三明治","95.0","1.0","95.0","悠旅生活事業股份有限公司台北市第六十四分公司"
"1150208","洋甘菊茶中","120.0","1.0","120.0","悠旅生活事業股份有限公司台北市第六十四分公司"
"1150208","塩味雞湯稻荷","340.0","1.0","340.0","一階堂拉麵餐飲有限公司潤泰內湖營業所"
"1150208","大蒜拳骨地獄犬","340.0","1.0","340.0","一階堂拉麵餐飲有限公司潤泰內湖營業所"
"1150209","酸辣湯","35.0","1.0","35.0","零七小吃店"
"1150209","雙蛋嫩雞飯","130.0","1.0","130.0","瑞哥小吃店"
"1150210","Ｃｈｅｅｒｓ強氣泡水","29.0","1.0","29.0","全家便利商店股份有限公司台北市第七三二分公司"
"1150210","中熱美式","35.0","1.0","35.0","全家便利商店股份有限公司台北市第七三二分公司"
"1150211","停車費","45.0","1.0","45.0","歐特儀股份有限公司永和國小地下停車場"
"1150211","雙蛋嫩雞飯","130.0","1.0","130.0","瑞哥小吃店"
"1150211","YouTube","190.0","1.0","190.0","Google Asia Pacific Pte Ltd"
"1150212","餐費","898.0","1.0","898.0","芝生鼓亭股份有限公司"
"1150214","生凍螯龍蝦尾","2638.0","1.0","2638.0","好市多股份有限公司北投分公司"
"1150214","智利藍莓","239.0","1.0","239.0","好市多股份有限公司北投分公司"
"1150214","花枝漿(台豬)","579.0","1.0","579.0","好市多股份有限公司北投分公司"
"1150214","善存女性維他命","1549.0","1.0","1549.0","好市多股份有限公司北投分公司"
"1150214","美國頂級牛小火鍋","1986.0","1.0","1986.0","好市多股份有限公司北投分公司"
"1150214","智利櫻桃李","899.0","1.0","899.0","好市多股份有限公司北投分公司"
"1150214","北海道生干貝L","2699.0","1.0","2699.0","好市多股份有限公司北投分公司"
"1150214","禾昱蛹蟲草","449.0","1.0","449.0","好市多股份有限公司北投分公司"
"1150214","舒酸定3D牙刷","369.0","1.0","369.0","好市多股份有限公司北投分公司"
"1150214","凱撒雞肉沙拉","198.0","1.0","198.0","好市多股份有限公司北投分公司"
"1150214","蛤蠣濃湯","69.0","2.0","138.0","好市多股份有限公司北投分公司"
"1150214","焢肉飯與蘿蔔湯","99.0","1.0","99.0","好市多股份有限公司北投分公司"
"1150214","海鮮捲","99.0","1.0","99.0","好市多股份有限公司北投分公司"
"1150214","食品飲食","1525.0","1.0","1525.0","統一百華股份有限公司夢廣場分公司"
"1150214","RED0288","60.0","1.0","60.0","統一精工股份有限公司統一國際大樓停車場"
"1150214","充電費","59.0","1.0","59.0","悠勢科技股份有限公司悠電能源營業所"
"1150215","A印花貼紙張","0.0","2.0","0.0","全聯實業股份有限公司竹東仁愛分公司"
"1150215","大關完熟梅酒","549.0","1.0","549.0","全聯實業股份有限公司竹東仁愛分公司"
"1150215","礦沛氣泡水585ml","25.0","1.0","25.0","萊爾富國際股份有限公司第四六一五分公司"
"1150216","ＦＷ　澳洲小拿鐵","75.0","1.0","75.0","鑫鑽咖啡館"
"1150216","水洗耶加雪菲　科契爾　Ｇ１－中熱","95.0","2.0","190.0","鑫鑽咖啡館"
"1150218","購物袋2號1500入","2.0","1.0","2.0","好味是股份有限公司"
"1150218","TAISUN強氣泡水500ml","18.0","4.0","72.0","好味是股份有限公司"
"1150218","雙葉紅豆粉粿冰棒67g*4","55.0","1.0","55.0","好味是股份有限公司"
"1150218","光泉鮮乳杯奶-玉米脆片240ml","36.0","1.0","36.0","好味是股份有限公司"
"1150218","黑松沙士PET600cc","21.0","1.0","21.0","好味是股份有限公司"
"1150218","真露葡萄柚燒酎360ml","159.0","1.0","159.0","好味是股份有限公司"
"1150218","光泉鮮乳杯奶-玉米脆片240ml","36.0","1.0","36.0","好味是股份有限公司"
"1150218","可樂果蠶豆酥48g","18.0","1.0","18.0","好味是股份有限公司"
"1150218","永發茗茶冷泡烏龍茶16入","69.0","1.0","69.0","好味是股份有限公司"
"1150218","散裝糖果一批","92.0","1.0","92.0","好味是股份有限公司"
"1150218","泰山強氣泡水PET500","29.0","1.0","29.0","統一超商股份有限公司台北市第四六三分公司"
"1150218","樂事雞汁味洋芋片意合包","29.0","1.0","29.0","統一超商股份有限公司台北市第四六三分公司"
"1150218","(E)手摘果物小紅莓","39.0","1.0","39.0","統一超商股份有限公司台北市第四六三分公司"
"1150218","CNY聯促2件79折4件75折1224*1XQC","-14.0","1.0","-14.0","統一超商股份有限公司台北市第四六三分公司"
"1150219","停車費用","60.0","1.0","60.0","岳洋股份有限公司陽明交大醫院營業處"
"1150219","水洗耶加雪菲科契爾","90.0","2.0","180.0","和睦二十六旅店有限公司"
"1150219","泰山強氣泡水PET500","29.0","2.0","58.0","統一超商股份有限公司宜蘭縣第一0七分公司"
"1150219","指定飲料第二件6折*A0B9*","-12.0","1.0","-12.0","統一超商股份有限公司宜蘭縣第一0七分公司"
"1150219","車號:RED0288
進場時間:2026/02/19 17:26:11
繳費時間:2026/02/19 17:57:45
臨停費率金額:100
停車費","100.0","1.0","100.0","傳忠有限公司頭城停一"
"1150220","三星蔥豚骨拉麵_","250.0","1.0","250.0","魚青食堂"
"1150220","鮭魚生魚片7品","280.0","1.0","280.0","魚青食堂"
"1150220","鹽烤鮮魚下巴","150.0","1.0","150.0","魚青食堂"
"1150220","焦蒜辣醬油拉麵_","210.0","1.0","210.0","魚青食堂"
"1150220","光泉鮮乳杯奶-玉米脆片240ml","36.0","1.0","36.0","好味是股份有限公司"
"1150220","金鷹72k迪士尼活頁手冊","40.0","1.0","40.0","好味是股份有限公司"
"1150221","牛奶霜淇淋","100.0","1.0","100.0","鯨食堂"
"1150221","停車費","150.0","1.0","150.0","力大開發股份有限公司羅東營業所"
"1150221","充電服務費","4.0","1.0","4.0","華城電能科技股份有限公司"
"1150221","i_大成散步雞","145.0","1.0","109.0","家福股份有限公司台北濟南分公司"
"1150221","統一阿Q紅椒牛肉","30.0","1.0","30.0","家福股份有限公司台北濟南分公司"
"1150221","綜合生魚片","300.0","1.0","300.0","小豪海鮮"
"1150221","塔香海瓜子","250.0","1.0","250.0","小豪海鮮"
"1150221","午仔魚-烤","380.0","1.0","380.0","小豪海鮮"
"1150221","芹香透抽","350.0","1.0","350.0","小豪海鮮"
"1150221","三點蟹-+ 加價,2,炊","460.0","1.0","460.0","小豪海鮮"
"1150221","清炒菠菜","160.0","1.0","160.0","小豪海鮮"
"1150221","蔥爆牛肉","280.0","1.0","280.0","小豪海鮮"
"1150221","服務費","218.0","1.0","218.0","小豪海鮮"
"1150221","泰山強氣泡水PET500","29.0","2.0","58.0","統一超商股份有限公司宜蘭縣第五十四分公司"
"1150221","森永in果凍(BCAA)","42.0","1.0","42.0","統一超商股份有限公司宜蘭縣第五十四分公司"
"1150221","森永in果凍(電解質)","42.0","1.0","42.0","統一超商股份有限公司宜蘭縣第五十四分公司"
"1150221","(E)手摘果物甘草芭樂乾","39.0","1.0","39.0","統一超商股份有限公司宜蘭縣第五十四分公司"
"1150221","(A)(E)手摘果物無籽梅肉","39.0","1.0","39.0","統一超商股份有限公司宜蘭縣第五十四分公司"
"1150221","(E)手摘果物小紅莓","39.0","1.0","39.0","統一超商股份有限公司宜蘭縣第五十四分公司"
"1150221","指定飲料第二件6折*A0B9*","-12.0","1.0","-12.0","統一超商股份有限公司宜蘭縣第五十四分公司"
"1150221","森永/即攻任選第二件5折*1YK0*","-21.0","1.0","-21.0","統一超商股份有限公司宜蘭縣第五十四分公司"
"1150221","CNY聯促2件79折4件75折1224*1XQC","-16.0","1.0","-16.0","統一超商股份有限公司宜蘭縣第五十四分公司"
"1150221","4X6貼紙20元商品","20.0","4.0","80.0","統一超商股份有限公司台北市第九三０分公司"
"1150221","Subscription 3rd Party In-Apps","90.0","1.0","90.0","Apple Distribution International"
"1150222","i_有機山茼蒿","39.0","1.0","39.0","家福股份有限公司台北濟南分公司"
"1150222","i_有機金針菇","15.0","1.0","15.0","家福股份有限公司台北濟南分公司"
"1150222","i_鮮乳坊許慶良鮮","120.0","1.0","105.0","家福股份有限公司台北濟南分公司"
"1150222","冷藏金目鱸魚片貼體","129.0","1.0","129.0","家福股份有限公司台北濟南分公司"
"1150222","大漢嫩豆腐","14.0","1.0","14.0","家福股份有限公司台北濟南分公司"
"1150222","嫩豆包200g(盒)","59.0","1.0","59.0","家福股份有限公司台北濟南分公司"
"1150222","澎湖飛魚卵花枝漿","119.0","1.0","109.0","家福股份有限公司台北濟南分公司"
"1150222","澳洲板腱火鍋片","125.0","1.0","125.0","家福股份有限公司台北濟南分公司"
"1150222","王子麵-火鍋/滷味用","40.0","1.0","40.0","家福股份有限公司台北濟南分公司"
"1150222","美國牛梅花火鍋片","137.0","1.0","137.0","家福股份有限公司台北濟南分公司"
"1150222","1 seat × ChatGPT Plus Subscription (at $20.00 / month)","21.0","1.0","21.0","OpenAI OpCo, LLC"
"1150222","餐飲","5269.0","1.0","5269.0","微風置地股份有限公司信義分公司"
"1150223","雙蛋嫩雞飯","130.0","1.0","130.0","瑞哥小吃店"
"1150223","泰山強氣泡水PET500","29.0","1.0","29.0","統一超商股份有限公司台北市第四三一分公司"
"1150225","i_有機福山萵苣","48.0","1.0","48.0","家福股份有限公司台北濟南分公司"
"1150225","嫩豆包200g(盒)","59.0","1.0","59.0","家福股份有限公司台北濟南分公司"
"1150225","美國牛梅花火鍋片","158.0","1.0","158.0","家福股份有限公司台北濟南分公司"
"1150225","美國牛霜降火鍋片","179.0","1.0","179.0","家福股份有限公司台北濟南分公司"
"1150225","藍鑽蝦仁(盒)","149.0","1.0","149.0","家福股份有限公司台北濟南分公司"
"1150225","薯條-中","50.0","1.0","50.0","和德昌股份有限公司台北濟南分公司"
"1150225","泰山強氣泡水PET500","29.0","1.0","29.0","統一超商股份有限公司台北市第四三一分公司"
"1150225","美式冰咖啡(中)","35.0","1.0","35.0","統一超商股份有限公司台北市第四三一分公司"
"1150225","LINE POINT","-2.0","1.0","-2.0","統一超商股份有限公司台北市第四三一分公司"
"1150226","雞腿飯","140.0","1.0","140.0","岳香小吃店"
"1150227","Uber One 訂閱費","120.0","1.0","120.0","優食台灣股份有限公司"
"1150227","明太子雞腿肉","180.0","1.0","180.0","蔦燒國際餐飲股份有限公司石牌店"
"1150227","塩燒小黑豬","150.0","1.0","150.0","蔦燒國際餐飲股份有限公司石牌店"
"1150227","蔥花雞腿肉","180.0","1.0","180.0","蔦燒國際餐飲股份有限公司石牌店"
"1150227","岩鹽荔枝氣泡飲","120.0","1.0","120.0","蔦燒國際餐飲股份有限公司石牌店"
"1150227","洛神花氣泡飲","120.0","1.0","120.0","蔦燒國際餐飲股份有限公司石牌店"
"1150227","服務費","242.0","1.0","242.0","蔦燒國際餐飲股份有限公司石牌店"
"1150227","蒜醬牛肋(榖飼)","170.0","2.0","340.0","蔦燒國際餐飲股份有限公司石牌店"
"1150227","午仔魚一夜干","320.0","1.0","320.0","蔦燒國際餐飲股份有限公司石牌店"
"1150227","蒜香炒水蓮","160.0","1.0","160.0","蔦燒國際餐飲股份有限公司石牌店"
"1150227","鮭魚炒飯","220.0","1.0","220.0","蔦燒國際餐飲股份有限公司石牌店"
"1150227","孜然羊肉","150.0","1.0","150.0","蔦燒國際餐飲股份有限公司石牌店"
"1150227","明太子豆腐","120.0","1.0","120.0","蔦燒國際餐飲股份有限公司石牌店"
"1150227","日式炒烏龍麵","200.0","1.0","200.0","蔦燒國際餐飲股份有限公司石牌店"
"1150227","日式蛤蠣湯","160.0","1.0","160.0","蔦燒國際餐飲股份有限公司石牌店"
"1150227","海洋珍珠堡","80.0","1.0","80.0","安心食品服務股份有限公司石牌捷運分公司"
"1150227","摘鮮綠烤雞起司堡(製","80.0","1.0","80.0","安心食品服務股份有限公司石牌捷運分公司"
"1150227","燒肉珍珠堡(牛)","75.0","1.0","75.0","安心食品服務股份有限公司石牌捷運分公司"
"1150227","和風炸雞(大)","85.0","1.0","85.0","安心食品服務股份有限公司石牌捷運分公司"
"1150227","和風炸雞(大)","85.0","1.0","85.0","安心食品服務股份有限公司石牌捷運分公司"
"1150227","泰山強氣泡水PET500","29.0","2.0","58.0","統一超商股份有限公司台北市第６分公司"
"1150227","指定飲料第二件6折*A0B9*","-12.0","1.0","-12.0","統一超商股份有限公司台北市第６分公司"
"1150227","LINE POINT","-7.0","1.0","-7.0","統一超商股份有限公司台北市第６分公司"
"1150228","餐-四盎司牛","92.0","1.0","92.0","和德昌股份有限公司台北濟南分公司"
"1150228","套餐鮮乳","38.0","1.0","38.0","和德昌股份有限公司台北濟南分公司"
"1150228","配-經典中薯","27.0","1.0","27.0","和德昌股份有限公司台北濟南分公司"
"1150228","加購蘋果派","40.0","1.0","40.0","和德昌股份有限公司台北濟南分公司"
"1150228","二辣腿排餐","126.0","1.0","126.0","和德昌股份有限公司台北濟南分公司"
"1150228","玉米湯-大","55.0","1.0","55.0","和德昌股份有限公司台北濟南分公司"
"1150228","配-經典中薯","27.0","1.0","27.0","和德昌股份有限公司台北濟南分公司"
"1150228","加購原腿/排","68.0","1.0","68.0","和德昌股份有限公司台北濟南分公司"
